K00002	alcohol dehydrogenase (NADP+)
K23859	PLEKHG1_2_pleckstrin homology domain-containing family G member 1/2/3
K23860	pleckstrin homology domain-containing family G member 4
K23863	osteopetrosis-associated transmembrane protein 1 (chloride channel 7 beta subunit)
K23864	paroxysmal nonkinesiogenic dyskinesia protein
K23878	alpha- and gamma-adaptin-binding protein p34
K23879	progranulin
K23881	tectonin beta-propeller repeat-containing protein 2
K23882	CDGSH iron-sulfur domain-containing protein 2
K23883	ectopic P granules protein 5
K23884	WW domain-containing adapter protein with coiled-coil
K23885	CDGSH iron-sulfur domain-containing protein 1
K23886	CDGSH iron-sulfur domain-containing protein 3
K23893	LHFPL tetraspan subfamily member protein
K23899	reticulocalbin-2
K23901	calumenin
K23902	programmed cell death protein 6
K23907	transmembrane inner ear expressed protein
K23909	calcyphosin
K23915	follistatin-related protein 5
K23922	EF-hand domain-containing family member D2
K23939	FH1/FH2 domain-containing protein 3
K23951	dymeclin
K23952	vacuolar ATPase assembly integral membrane protein VMA21
K23956	FERM and PDZ domain-containing protein 4
K23957	formic-like protein
K23958	inverted formin-2
K23961	EPB41L1_2_band 4.1-like protein 1/2/3
K23963	band 4.1-like protein 5
K23964	cyclin-Q
K23966	cyclin L
K23969	FRMD3_FERM domain-containing protein 3/5
K23970	FERM domain-containing protein 4
K23994	SLC9B1_solute carrier family 9B (sodium/hydrogen exchanger), member 1/2
K24006	peptidylglycine monooxygenase / peptidylamidoglycolate lyase
K24013	trimeric intracellular cation channel
K24014	protein unc-79
K24015	protein unc-80
K24020	pleckstrin homology domain-containing family H
K24023	Ras-specific guanine nucleotide-releasing factor RalGPS
K24024	rhotekin
K24027	protein melted
K24029	prolyl 3-hydroxylase /prolyl 3,4-dihydroxylase
K24048	MPP2_MAGUK p55 subfamily member 2/6
K24049	MPP3_MAGUK p55 subfamily member 3/7
K24051	SprT-like domain-contaning protein Spartan
K24053	general receptor for phosphoinositides 1-associated scaffold protein
K24054	golgi-associated PDZ and coiled-coil motif-containing protein
K24060	PDZ domain-containing protein 8
K24062	PRKCA-binding protein
K24064	beta-syntrophin
K24065	gamma-syntrophin
K24067	Tax1-binding protein 3
K24068	MEGF10_multiple epidermal growth factor-like domains protein 10/11
K24069	membrane-associated phosphatidylinositol transfer protein
K24070	poly polymerase 1
K24086	translation initiation factor 4H
K24095	nischarin
K24104	GPN-loop GTPase
K24135	MORC family CW-type zinc finger protein
K24141	StAR-related lipid transfer protein 7, mitochondrial
K24142	StAR-related lipid transfer protein 10
K24143	LIM domain-binding protein 2
K24146	zinc finger protein basonuclin
K24155	rabconnectin-3a
K24174	N(6)-adenine-specific DNA methyltransferase
K24175	MFS transporter, MFS domain-containing protein family, molybdate-anion transporter
K24183	neurobeachin
K24185	kinesin family member 21
K24195	xenotropic and polytropic retrovirus receptor 1
K24205	protein lifeguard
K24242	7-methylguanosine nucleotidase
K24260	WD repeat-containing protein 11
K24262	secreted protein acidic and rich in cysteine
K24265	bifunctional damage-control phosphatase, subfamily II, fusion protein
K24272	density-regulated protein
K24317	germinal-center associated nuclear protein
K24332	attractin
K24333	multiple epidermal growth factor-like domains protein 6
K24335	protein disulfide-isomerase
K24348	UBXN1_UBX domain-containing protein 1/4
K24350	UBX domain-containing protein 7
K24354	SPARC-related modular calcium-binding protein
K24360	neuropilin and tolloid-like protein
K24369	zinc finger C4H2 domain-contaning protein
K24412	cysteine-rich protein 1
K24418	rRNA N6-adenosine-methyltransferase METTL5
K24419	methyltransferase-like protein 27
K24420	LIM and SH3 domain protein 1
K24426	pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1
K24427	spondin-1
K24456	kyphoscoliosis peptidase
K24468	SCUBE1_signal peptide, CUB and EGF-like domain-containing protein 1/3
K24478	ankyrin repeat and fibronectin type-III domain-containing protein 1
K24485	fibronectin type III domain-containing protein 3
K24496	nephron
K24501	PR domain zinc finger protein 1
K24502	Fez family zinc finger protein
K24505	glucocorticoid modulatory element-binding protein
K24512	von Willebrand factor A domain-containing protein 8
K24518	cysteine-rich motor neuron 1 protein
K24526	RNA-binding protein 12
K24553	C-mannosyltransferase DPY19L
K24594	arginine/serine-rich coiled-coil protein 1
K24595	arginine/serine-rich coiled-coil protein 2
K24610	LRIG1_leucine-rich repeats and immunoglobulin-like domains protein 1/3
K24611	AMME syndrome candidate gene 1 protein
K24617	EFF-eff-1
K24618	AFF-cell fusion protein aff-1
K24624	MICOS complex subunit MIC13
K24626	MICOS complex subunit MIC27
K24628	protein rogdi
K24633	ankyrin repeat and MYND domain-containing protein 2
K24637	zinc finger BED domain-containing protein 1 (E3 SUMO-protein ligase ZBED1)
K24642	ZBED5_7_8_zinc finger BED domain-containing protein 5/7/8/9
K24646	PR domain zinc finger protein 14
K24660	high mobility group protein 20A
K24680	protein dispatched 1
K24682	patched domain-containing protein
K24685	AN1-type zinc finger protein 2
K24720	tubby-related protein 4
K24721	clathrin interactor 1
K24725	angio-associated migratory cell protein
K24726	NADH dehydrogenase 1 alpha subcomplex assembly factor 8
K24727	myogenesis-regulating glycosidase
K24730	cytosolic iron-sulfur protein assembly protein CIAO1
K24734	NACHT domain- and WD repeat-containing protein
K24736	WD repeat-containing protein 1 (actin-interacting protein 1)
K24737	WD repeat-containing protein 6
K24738	rabconnectin-3b
K24741	WD repeat-containing protein 20
K24743	WD repeat-containing protein 31
K24744	WD repeat-containing protein 37
K24746	WD repeat-containing protein 47
K24749	WD repeat-containing protein 54
K24750	WD repeat-containing protein 55
K24752	WD repeat-containing protein 70
K24755	WD repeat-containing protein 76
K24763	regulator of MON1-CCZ1 complex
K24768	myelin regulatory factor
K24780	lateral signaling target protein 2
K24786	RUN domain-containing protein 1
K24796	TBC1 domain family member 13
K24797	TBC1 domain family member 16
K24799	TBC1 domain family member 25
K24807	zinc finger and BTB domain-containing protein 49
K24808	BTB/POZ domain-containing protein 17
K24814	HEAT repeat-containing protein 5
K24816	maestro heat-like repeat-containing protein family member 1
K24824	RNA-binding protein 48
K24826	cysteine-rich PDZ-binding protein
K24869	S phase cyclin A-associated protein in the endoplasmic reticulum
K24874	brain-specific homeobox protein
K24885	homeobox-containing protein 1
K24886	TOG array regulator of axonemal microtubules protein
K24887	GTP-binding protein 1
K24888	GTP-binding protein 2
K24889	iroquois-class homeodomain protein IRX
K24896	double homeobox protein
K24909	disco-interacting protein 2 homolog C
K24924	receptor-associated protein of the synapse
K24925	small glutamine-rich tetratricopeptide repeat-containing protein beta
K24926	tetratricopeptide repeat protein 1
K24927	tetratricopeptide repeat protein 4
K24928	tetratricopeptide repeat protein 5
K24931	tetratricopeptide repeat protein 17
K24935	tetratricopeptide repeat protein 27
K24939	CWF19-like protein 1
K24940	CWF19-like protein 2
K24941	tetratricopeptide repeat protein 36
K24942	tetratricopeptide repeat protein 38
K24943	tetratricopeptide repeat protein 39
K24956	protein archease
K24962	PAT complex subunit CCDC47
K24963	PAT complex subunit Asterix
K24964	transmembrane protein KIAA1109
K24970	transcription factor 25
K24971	nuclear export mediator factor NEMF
K24974	tRNA N(3)-methylcytidine methyltransferase METTL2
K24983	Ras GTPase-activating protein-binding protein 2
K24990	RNA-binding motif, single-stranded-interacting protein
K24996	STING ER exit protein
K25004	methylenetetrahydrofolate reductase (NADPH)
K25006	RBM24_RNA-binding protein 24/38
K25048	transmembrane protein 106B
K25058	cactin
K25079	RNA-binding protein 42
K25091	RNA-binding protein with multiple splicing
K25095	SRA stem-loop-interacting RNA-binding protein, mitochondrial
K25112	thioredoxin-related transmembrane protein 2
K25129	protein ELYS
K25163	wings apart-like protein
K25166	eEF1A lysine and N-terminal methyltransferase
K25177	rRNA N6-adenosine-methyltransferase ZCCHC4
K25178	coiled-coil domain-containing protein 174
K25185	metalloprotease TIKI
K25186	replication termination factor 2
K25203	exportin-4
K25204	exportin-6
K25207	zinc finger SWIM domain-containing protein 8
K25215	protein LMBR1L
K25216	ubiquitin-associated domain-containing protein 2
K25218	aftiphilin
K25291	transmembrane protein 94
K25292	transmembrane protein 98
K25304	DNA-directed RNA polymerase III subunit RPC9
K25366	LRP chaperone MESD
K25374	bactericidal permeability-increasing protein
K25388	kinesin-associated protein 3
K25389	thioredoxin domain-containing protein 15
K25395	cilia- and flagella-associated protein 36
K25417	coiled-coil domain-containing protein 134
K25426	PIH1 domain-containing protein 1
K25442	nuclear receptor coactivator 7
K25470	cilia- and flagella-associated protein 20
K25483	glycoprotein hormone alpha-2
K25484	glycoprotein hormone beta-5
K25493	dickkopf 3
K25572	EH domain-binding protein 1
K25591	U7 snRNA-associated Sm-like protein LSm10
K25592	U7 snRNA-associated Sm-like protein LSm11
K25605	B-cell CLL/lymphoma 7 protein
K25628	T-complex protein 11
K25639	FACT complex subunit SPT16
K25662	E3 SUMO-protein ligase RNF212
K25668	fasciculation and elongation protein zeta-2
K25687	protein NDNF
K25720	protease-associated domain-containing protein 1
K25731	VPS35 endosomal protein-sorting factor-like
K25743	twisted gastrulation protein 1
K25745	vitelline membrane outer layer protein 1
K25755	leukocyte cell-derived chemotaxin-2
K25762	tubulin N-terminal N-acetyltransferase
K25768	Ral GTPase-activating protein subunit alpha
K25769	Ral GTPase-activating protein subunit beta
K25789	protein jagunal
K25792	jumonji domain-containing protein 8
K25794	histone H4 transcription factor
K25795	insulinoma-associated protein
K25805	FEM1A_protein fem-1 homolog A/C
K25806	amyloid protein-binding protein 2
K25807	kelch domain-containing protein 2
K25808	kelch domain-containing protein 3
K25809	kelch domain-containing protein 10
K25815	activated RNA polymerase II transcriptional coactivator p15
K25817	repressor of RNA polymerase III transcription MAF1
K25818	nucleolar and coiled-body phosphoprotein 1
K25824	abhydrolase domain-containing protein 16A
K25826	core-binding factor subunit beta
K25829	transcription elongation factor 1
K25856	AT-rich interactive domain-containing protein 3
K25866	nuclear migration protein NudC
K25874	Kirrel/Neph family protein
K25877	MYG1 exonuclease
K25931	NF-kappa-B-activating protein
K26006	cobalamin trafficking protein CblD
K26089	ankyrin repeat and zinc finger domain-containing protein 1
K26094	spindle and kinetochore-associated protein 1
K26099	PTTG1-interacting protein
K26107	fibroblast growth factor receptor-like 1
K26109	nuclear exosome regulator NRDE2
K26111	SID1 transmembrane family member 1
K26151	MFS transporter, NAG-T family, sugar:H+ symporter
K26152	SLC25A51_solute carrier family 25 (mitochondrial nicotinamide adenine dinucleotide transporter), member 51/52
K26153	proton channel OTOP
K26157	kinesin family member 19
K26159	PRKR-interacting protein 1
K26161	acidic fibroblast growth factor intracellular-binding protein
K26162	MAP kinase-activating death domain protein
K26163	parkin coregulated gene protein
K26164	protein RIC-3
K26167	bromodomain adjacent to zinc finger domain protein 2B
K26191	s-mitochondrial 12S ribosomal RNA
K26192	l-mitochondrial 16S ribosomal RNA
K26200	sex peptide receptor
K26201	FMRFamide receptor
K26203	myosuppressin receptor
K26216	activator of Hsp90 ATPase protein 1
K26219	ezrin-moesin-radixin 1
K26226	liprin-alpha
K26229	ARRDC2_arrestin domain-containing protein 2/3
K26238	proton-transporting V-type ATPase complex assembly regulator
K26242	RCOR2_REST corepressor 2/3
K26244	transcriptional regulatory protein PHF12/RCO1
K26250	histone PARylation factor 1
K26267	SAP30-binding protein
K26273	protein strawberry notch
K26306	SNORD53_small nucleolar RNA SNORD53/92
K26360	small nucleolar RNA SNORA68
K26391	stomatin-like protein 1
K26392	stomatin-like protein 2
K26393	stomatin-like protein 3
K26401	target of Myb membrane trafficking protein 1 and related proteins
K26403	cytosolic iron-sulfur assembly component 2
K26404	cytosolic iron-sulfur assembly component 3
K26405	coiled-coil domain-containing protein 25
K26410	store-operated calcium entry-associated regulatory factor
K26415	Rho GTPase-activating protein 45
K26419	AKT-interacting protein
K26420	FHF complex subunit HOOK interacting protein 1
K26434	leucine-rich repeat flightless-interacting protein
K26437	major facilitator superfamily domain-containing protein 12
K26456	protein TANC
K26457	neuronal PAS domain-containing protein 4
K26469	mitochondrial potassium channel
K26471	leucine zipper putative tumor suppressor 2
K26496	GEL complex subunit OPTI
K26497	transmembrane protein 230
K26498	BOS complex subunit TMEM147
K26499	BOS complex subunit NCLN
K26500	NOMO1_2_BOS complex subunit NOMO
K26501	oligosaccharyltransferase complex subunit OSTC
K26502	transmembrane protein 258
K26503	Ski oncogene
K26537	protein UXT
K26544	phosphatidylinositol/phosphatidylcholine transfer protein
K26546	SH3 domain-containing protein Dlish
K26608	transmembrane protein 120
K26674	transmembrane protein 218
K26678	protein MON2
K26680	protein dopey
K26683	vesicle transport protein GOT1
K26736	ERBB-3 binding protein
K26746	TMX1_thioredoxin-related transmembrane protein 1/4
K26752	golgi apparatus membrane protein TVP23
K26797	golgi reassembly-stacking protein
K26808	taxilin
K26811	XKR4_6_XK-related protein 4/6/7
K26935	cell cycle control protein 50
K26957	germ cell nuclear acidic protein
K27045	vacuolar fusion protein CCZ1, animal type
K27096	liprin-beta
K27103	serrate RNA effector molecule
K27164	SRP-independent targeting protein 2
K27198	small nucleolar RNA SNORD5
K27201	SNORD8_small nucleolar RNA SNORD8/9
K27258	protein wntless
K27277	SET domain-containing protein 4
K27310	transmembrane protein 41
K27318	mitochondrial amidoxime-reducing component
K27319	short transmembrane mitochondrial protein 1
K27348	CES-transcription factor Ces-2
K27355	nuclear envelope integral membrane protein
K27390	host cell factor 2
K27396	protein Smaug
K27397	PHD finger protein 14
K27410	coiled-coil domain-containing protein 32
K27411	phagosome assembly factor 1
K27491	endosulfine family protein
K27496	flightless I actin remodeling protein
K27536	NAD(+) hydrolase SARM1
K27545	arginine dihydrolase
K27566	GTPase-activating protein and VPS9 domain-containing protein 1
K27568	golgin-45
K27569	protein eva-1
K27685	glycolipid transfer protein
K27694	protein NDRG3
K27699	HUWE1-associated protein modifying stress responses 1
K27705	developmentally-regulated GTP-binding protein 2
K27706	zinc finger CCCH domain-containing protein 15
K27751	acyl-CoA-binding domain-containing protein 6
K27804	furry protein family
K27833	box C/D snoRNA protein 1
K27888	phospholipid scramblase
K27892	neural-cadherin
K27894	protein HID1
K27898	protein Aster
K27905	cyclin Y
K27906	ribosome assembly protein METTL17/RSM22, mitochondrial
K27909	ceramide-1-phosphate transfer protein
K27918	bridge-like lipid transfer protein family member 2
K27921	N-alpha-acetyltransferase 80
K27947	MTOR-associated protein MEAK7
K27960	striatin-interacting protein
K27963	sarcolemmal membrane-associated protein
K27964	PRELI domain-containing protein 1, mitochondrial
K27966	PRELI domain-containing protein 3, mitochondrial
